Symbol,Name,PE Ratio,Dividend Yield,Earnings Growth
SLB,Schlumberger N.V.,0.13473090403176488,0.05641285099924108,0.0032561910897022954
KKR,KKR & Co. Inc.,0.06659700437985676,0.01694915254237288,0.03771861509321488
CDNS,"Cadence Design Systems, Inc.",0.029767807759354045,0.0,0.004246509049070414
MO,"Altria Group, Inc.",0.23950617000000005,0.24057677713129266,0.0023940696299287545
STLA,Stellantis N.V.,0.46752414958669597,0.15810776625347836,0.0027466100038138455
GSK,GSK plc,0.16087023922836938,0.08727548697192006,0.00047432704849994074
ANET,"Arista Networks, Inc.",0.05746610654771866,0.0,0.004461238185891334
ARM,Arm Holdings plc,0.0014361035526907512,0.0,0.001362087808192397
HCA,"HCA Healthcare, Inc.",0.13596419834139306,0.02074373893245636,0.0025254710420131977
RELX,RELX PLC PLC,0.06246161643473793,0.04148747786491273,0.003291445127090804
WDAY,"Workday, Inc.",0.0018777433947471582,0.0,0.0
VALE,VALE S.A.,0.2864681551304109,0.23728813559322032,0.0011249242839424269
MCO,Moody's Corporation,0.052917120887871184,0.021755628636478626,0.0043458613362562125
FDX,FedEx Corporation,0.15520566813346826,0.0518593473311409,0.002695331403976014
CP,Canadian Pacific Kansas City Li,0.08336225238655282,0.015937262079433342,0.002503036654584146
ICE,Intercontinental Exchange Inc.,0.07038864079450655,0.03238046799898811,0.0026504626291179115
WM,"Waste Management, Inc.",0.06343197780261083,0.033645332658740194,0.0031536338900266326
USB,U.S. Bancorp,0.17548401934949057,0.11940298001517832,0.002666487191567234
EOG,"EOG Resources, Inc.",0.24936571637697086,0.08171009359979761,0.002743405091323981
NOC,Northrop Grumman Corporation,0.06817657716968432,0.04047558816089046,0.0
GD,General Dynamics Corporation,0.10074060312076674,0.04831773083733873,0.00316645353998609
BDX,"Becton, Dickinson and Company",0.041676522025657185,0.03845180875284594,0.0017274478320369459
RACE,Ferrari N.V.,0.04235294111405843,0.015684290412345054,0.004217664836661634
RTO,Rentokil Initial plc,0.06466330334356284,0.044523146976979504,0.00343887110162457
CNQ,Canadian Natural Resources Limi,0.16395174589735872,0.11535542625853781,0.0026568724540976404
CSX,CSX Corporation,0.11027535899575118,0.031115608398684547,0.00287160159091856
SAN,"Banco Santander, S.A. Sponsored",0.34927982397333707,0.0913230457880091,0.004438803798462282
BMO,Bank Of Montreal,0.10171703703313614,0.11965595750063242,0.0009326295345505588
NTES,"NetEase, Inc.",0.11958554565054359,0.04047558816089046,0.0037209034007326426
PYPL,"PayPal Holdings, Inc.",0.14598471314285716,0.0,0.005092605946394633
TRI,Thomson Reuters Corp,0.08296609341055576,0.03389830508474576,0.010182006980299401
SNOW,Snowflake Inc.,0.0,0.0,0.0
MAR,Marriott International,0.0931809559839677,0.0204907665064508,0.004256123786540007
ITUB,Itau Unibanco Banco Holding SA,0.2162871203931466,0.06855552744750822,0.003736927963181965
SMFG,Sumitomo Mitsui Financial Group,0.17092872712620405,0.08272197824437136,0.1215815602154983
TGT,Target Corporation,0.118001843244773,0.07285606121932708,0.004288172911438653
SCCO,Southern Copper Corporation,0.08829979999781008,0.09815330129015935,0.0014966941327667046
CL,Colgate-Palmolive Company,0.07452618437259469,0.05590690614722995,0.466350021312668
CRWD,"CrowdStrike Holdings, Inc.",0.0,0.0,0.0
CMG,"Chipotle Mexican Grill, Inc.",0.03956793751367599,0.0,0.0039965258748609865
AON,Aon plc,0.09146587686993732,0.019225904376422968,0.0024325285798071283
PNC,"PNC Financial Services Group, I",0.19276848658502727,0.10599544649633189,0.0016345053698308767
APD,"Air Products and Chemicals, Inc",0.10289588828311957,0.07589172527194535,0.003320289339499585
NXPI,NXP Semiconductors N.V.,0.10269347982234445,0.042499367568934986,0.0030254373904320536
BN,Brookfield Corporation,0.034901759542543716,0.019225904376422968,0.0
FCX,"Freeport-McMoRan, Inc.",0.07618486520874751,0.03845180875284594,0.0016921937946484372
LULU,lululemon athletica inc.,0.04052018284536391,0.0,0.0030574865153306986
APH,Amphenol Corporation,0.06735975680238676,0.020237794080445234,0.0031568388025164968
AMX,"America Movil, S.A.B. de C.V.",0.16461701652093683,0.06956741715153048,0.004313812211357569
BTI,British American Tobacco  Indus,0.0,0.2461421705034151,0.0
